GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
codenameone-core-unittests,com.codename1.io.services,RSSService.new XMLParser() {...},62,105,20,18,12,21,16,8,1,4
codenameone-core-unittests,com.codename1.io.services,ImageDownloadService,495,609,64,50,111,173,61,43,15,32
codenameone-core-unittests,com.codename1.io.services,TwitterRESTService,116,46,4,0,27,9,11,1,9,1
codenameone-core-unittests,com.codename1.io.services,ImageDownloadService.new Runnable() {...},22,20,1,1,3,4,1,2,0,2
codenameone-core-unittests,com.codename1.io.services,ImageDownloadService.new Runnable() {...},0,55,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.io.services,ImageDownloadService.new Runnable() {...},0,45,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.io.services,ImageDownloadService.new Runnable() {...},0,60,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.io.services,ImageDownloadService.new Runnable() {...},28,39,4,2,3,7,3,2,0,2
codenameone-core-unittests,com.codename1.io.services,ImageDownloadService.new Runnable() {...},0,23,1,1,0,6,1,2,0,2
codenameone-core-unittests,com.codename1.io.services,TwitterRESTService.new ConnectionRequest() {...},0,21,1,1,0,6,1,2,0,2
codenameone-core-unittests,com.codename1.io.services,RSSService,155,122,15,9,31,38,15,8,5,6
codenameone-core-unittests,com.codename1.io.services,RSSService.new RuntimeException() {...},0,6,0,0,0,1,0,1,0,1
codenameone-core-unittests,com.codename1.io.services,CachedData,2,84,0,0,1,29,1,14,1,14
codenameone-core-unittests,com.codename1.io.services,CachedDataService,1,131,6,12,1,40,6,10,0,7
codenameone-core-unittests,com.codename1.io.tar,TarOutputStream,71,110,7,9,9,31,7,8,1,6
codenameone-core-unittests,com.codename1.io.tar,Octal,3,174,0,20,1,36,1,14,1,4
codenameone-core-unittests,com.codename1.io.tar,TarConstants,0,3,0,0,0,1,0,1,0,1
codenameone-core-unittests,com.codename1.io.tar,TarInputStream,87,243,17,31,22,60,19,17,6,6
codenameone-core-unittests,com.codename1.io.tar,TarUtils,57,38,10,2,11,11,7,3,1,3
codenameone-core-unittests,com.codename1.io.tar,TarEntry,151,431,7,13,34,96,22,18,17,13
codenameone-core-unittests,com.codename1.io.tar,TarHeader,5,109,3,9,1,24,3,6,0,3
codenameone-core-unittests,com.codename1.ui.spinner,BaseSpinner.new Label() {...},4,7,0,0,2,1,1,1,1,1
codenameone-core-unittests,com.codename1.ui.spinner,Spinner3D.NumberModelAdapter,16,39,0,0,5,15,3,8,3,8
codenameone-core-unittests,com.codename1.ui.spinner,Spinner3D.DateModelAdapter,71,45,4,0,17,16,5,8,3,8
codenameone-core-unittests,com.codename1.ui.spinner,DateTimeSpinner,412,45,40,2,74,13,35,3,14,3
codenameone-core-unittests,com.codename1.ui.spinner,SpinnerRenderer,195,193,26,10,39,23,17,7,2,4
codenameone-core-unittests,com.codename1.ui.spinner,SpinnerNode.new SelectionListener() {...},9,26,5,5,1,5,4,3,0,2
codenameone-core-unittests,com.codename1.ui.spinner,SpinnerNode.new NodePainter() {...},0,68,0,0,0,11,0,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,SpinnerNode.new Label() {...},3,19,1,1,1,3,1,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,SpinnerNode.new DataChangedListener() {...},4,6,0,0,2,1,1,1,1,1
codenameone-core-unittests,com.codename1.ui.spinner,DateSpinner3D,902,425,88,26,167,85,83,9,27,8
codenameone-core-unittests,com.codename1.ui.spinner,Picker.new ActionListener() {...},59,12,2,0,12,1,2,1,1,1
codenameone-core-unittests,com.codename1.ui.spinner,Picker.new VirtualInputDevice() {...},0,49,0,4,0,9,0,4,0,2
codenameone-core-unittests,com.codename1.ui.spinner,Picker.new ActionListener() {...},886,540,119,49,179,113,75,25,5,6
codenameone-core-unittests,com.codename1.ui.spinner,Picker.new Runnable() {...},72,36,5,1,13,6,3,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,DateSpinner3D.new SpinnerNode.RowFormatter() {...},25,6,2,0,6,1,2,1,1,1
codenameone-core-unittests,com.codename1.ui.spinner,DateSpinner3D.new SpinnerNode.RowFormatter() {...},9,6,2,0,3,1,2,1,1,1
codenameone-core-unittests,com.codename1.ui.spinner,DateSpinner3D.new SpinnerNode.RowFormatter() {...},9,6,2,0,3,1,2,1,1,1
codenameone-core-unittests,com.codename1.ui.spinner,Spinner,583,422,89,26,138,108,65,22,7,18
codenameone-core-unittests,com.codename1.ui.spinner,CalendarPicker,0,34,0,0,0,11,0,4,0,4
codenameone-core-unittests,com.codename1.ui.spinner,Spinner3D.ScrollingContainer,0,12,0,0,0,5,0,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,DateTimeSpinner3D,347,322,47,9,72,69,44,14,17,13
codenameone-core-unittests,com.codename1.ui.spinner,Spinner3D,34,351,3,19,5,78,6,19,3,11
codenameone-core-unittests,com.codename1.ui.spinner,DateSpinner,303,205,38,16,56,60,37,12,12,10
codenameone-core-unittests,com.codename1.ui.spinner,Picker.1.new ActionListener() {...},0,21,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,Picker.1.new ActionListener() {...},0,21,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,Picker.1.new Runnable() {...},0,30,0,0,0,4,0,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,Picker.1.new Runnable() {...},0,16,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,Picker.1.new Command() {...},19,0,0,0,4,0,2,0,2,0
codenameone-core-unittests,com.codename1.ui.spinner,Picker.1.new InteractionDialog() {...},0,51,3,5,0,14,3,4,0,3
codenameone-core-unittests,com.codename1.ui.spinner,Picker.1.new ActionListener() {...},0,21,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,Picker.1.new ActionListener() {...},0,21,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,DateSpinner.new SpinnerRenderer() {...},26,47,5,5,4,9,4,3,0,2
codenameone-core-unittests,com.codename1.ui.spinner,Picker.1.1.new ActionListener() {...},11,23,1,1,1,4,1,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,SpinnerDateModel,8,210,0,2,3,51,3,11,3,10
codenameone-core-unittests,com.codename1.ui.spinner,SpinnerNumberModel,9,243,1,11,5,55,5,18,4,13
codenameone-core-unittests,com.codename1.ui.spinner,Picker.3.new Runnable() {...},28,0,0,0,4,0,2,0,2,0
codenameone-core-unittests,com.codename1.ui.spinner,TimeSpinner,346,371,67,25,77,101,52,15,10,11
codenameone-core-unittests,com.codename1.ui.spinner,TimeSpinner3D,431,458,86,30,91,114,67,19,13,15
codenameone-core-unittests,com.codename1.ui.spinner,NumericSpinner,74,236,5,27,7,56,8,24,3,13
codenameone-core-unittests,com.codename1.ui.spinner,Spinner.new SpinnerRenderer() {...},13,45,3,3,1,9,3,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,GenericSpinner,312,392,46,32,63,80,41,26,13,15
codenameone-core-unittests,com.codename1.ui.spinner,SpinnerNode,261,849,36,35,49,183,33,35,6,26
codenameone-core-unittests,com.codename1.ui.spinner,BaseSpinner,47,94,3,5,10,29,5,8,2,7
codenameone-core-unittests,com.codename1.ui.spinner,DateTimeRenderer,274,283,29,10,42,46,24,9,3,8
codenameone-core-unittests,com.codename1.ui.spinner,DurationSpinner3D,72,492,23,23,8,92,23,5,0,5
codenameone-core-unittests,com.codename1.ui.spinner,Spinner3D.new ScrollListener() {...},0,13,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,Spinner3D.new ScrollListener() {...},0,12,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.ui.spinner,Spinner3D.new Scene() {...},0,32,0,0,0,7,0,3,0,3
codenameone-core-unittests,com.codename1.ui.spinner,Spinner3D.new Spinner3D.ScrollingContainer() {...},46,50,4,0,7,9,3,4,1,4
codenameone-core-unittests,com.codename1.ui.spinner,TimeSpinner3D.new SpinnerNode.RowFormatter() {...},9,6,2,0,3,1,2,1,1,1
codenameone-core-unittests,com.codename1.ui.spinner,TimeSpinner3D.new SpinnerNode.RowFormatter() {...},24,6,4,0,7,1,3,1,1,1
codenameone-core-unittests,com.codename1.ui.spinner,TimeSpinner3D.new SpinnerNode.RowFormatter() {...},9,6,2,0,3,1,2,1,1,1
codenameone-core-unittests,com.codename1.ui.spinner,Picker.4.new Runnable() {...},0,25,0,2,0,6,0,3,0,2
codenameone-core-unittests,com.codename1.ui.spinner,Picker,325,545,50,55,87,144,67,50,30,31
codenameone-core-unittests,com.codename1.ui.spinner,TimeSpinner.new SpinnerRenderer() {...},0,34,2,4,0,6,2,3,0,2
codenameone-core-unittests,com.codename1.ui.spinner,TimeSpinner.new SpinnerRenderer() {...},23,6,6,0,6,1,4,1,1,1
codenameone-core-unittests,com.codename1.messaging,Message,12,88,4,8,5,25,9,11,5,9
codenameone-core-unittests,com.codename1.location,Location,86,126,8,0,29,23,20,10,16,10
codenameone-core-unittests,com.codename1.location,Geofence.new Comparator() {...},7,23,3,1,0,4,2,2,0,2
codenameone-core-unittests,com.codename1.location,Geofence.new Comparator() {...},0,44,0,4,0,4,0,4,0,2
codenameone-core-unittests,com.codename1.location,LocationRequest,21,9,0,0,6,4,3,1,3,1
codenameone-core-unittests,com.codename1.location,Location.new Comparator() {...},1,29,1,3,0,4,1,3,0,2
codenameone-core-unittests,com.codename1.location,LocationManager.LL,43,31,7,1,15,11,5,4,1,4
codenameone-core-unittests,com.codename1.location,Geofence,137,53,22,0,24,13,15,8,4,8
codenameone-core-unittests,com.codename1.location,LocationManager,21,98,0,10,12,39,9,17,9,12
codenameone-core-unittests,com.codename1.location,GeofenceManager.Listener,0,16,0,0,0,8,0,5,0,5
codenameone-core-unittests,com.codename1.location,GeofenceManager,277,689,50,68,63,164,45,55,8,33
codenameone-core-unittests,com.codename1.media,AsyncMedia.MediaException,8,20,0,0,3,8,1,3,1,3
codenameone-core-unittests,com.codename1.media,AbstractMedia.new ActionListener() {...},0,37,3,3,0,8,3,2,0,2
codenameone-core-unittests,com.codename1.media,AsyncMedia.MediaStateChangeEvent,3,13,0,0,1,5,1,2,1,2
codenameone-core-unittests,com.codename1.media,AsyncMedia.MediaErrorEvent,0,10,0,0,0,4,0,2,0,2
codenameone-core-unittests,com.codename1.media,AsyncMedia.PauseRequest,0,3,0,0,0,1,0,1,0,1
codenameone-core-unittests,com.codename1.media,AsyncMedia.State,0,24,0,0,0,3,0,1,0,1
codenameone-core-unittests,com.codename1.media,AbstractMedia,23,267,5,21,10,66,8,20,3,12
codenameone-core-unittests,com.codename1.media,RemoteControlCallback.new Runnable() {...},0,6,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.media,RemoteControlCallback.new Runnable() {...},0,6,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.media,RemoteControlCallback.new Runnable() {...},0,6,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.media,RemoteControlCallback.new Runnable() {...},0,11,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.media,RemoteControlCallback.new Runnable() {...},0,6,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.media,RemoteControlCallback.new Runnable() {...},0,6,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.media,AbstractMedia.new ActionListener() {...},0,37,3,3,0,8,3,2,0,2
codenameone-core-unittests,com.codename1.media,MediaManager.1.new TimerTask() {...},0,23,0,2,0,5,0,3,0,2
codenameone-core-unittests,com.codename1.media,MediaManager.1.new TimerTask() {...},0,23,0,2,0,5,0,3,0,2
codenameone-core-unittests,com.codename1.media,MediaManager.new AbstractMedia() {...},16,131,2,10,4,36,6,19,4,15
codenameone-core-unittests,com.codename1.media,AsyncMedia.PlayRequest,0,3,0,0,0,1,0,1,0,1
codenameone-core-unittests,com.codename1.media,RemoteControlCallback.new Runnable() {...},0,6,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.media,RemoteControlCallback.new Runnable() {...},0,6,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.media,RemoteControlCallback.new Runnable() {...},0,6,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.media,AsyncMedia.MediaErrorType,0,89,0,0,0,11,0,2,0,2
codenameone-core-unittests,com.codename1.media,RemoteControlListener,14,3,0,0,12,1,12,1,12,1
codenameone-core-unittests,com.codename1.media,MediaMetaData,21,31,0,0,9,13,6,9,6,9
codenameone-core-unittests,com.codename1.media,AudioBuffer,145,303,11,19,19,70,12,20,3,14
codenameone-core-unittests,com.codename1.media,AbstractMedia.new SuccessCallback() {...},0,18,1,1,0,4,1,2,0,2
codenameone-core-unittests,com.codename1.media,AbstractMedia.new SuccessCallback() {...},0,18,1,1,0,4,1,2,0,2
codenameone-core-unittests,com.codename1.media,AbstractMedia.new ActionListener() {...},0,33,1,1,0,6,1,2,0,2
codenameone-core-unittests,com.codename1.media,AudioBuffer.new Runnable() {...},0,17,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.media,AudioBuffer.new Runnable() {...},0,17,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.media,RemoteControlCallback,11,64,1,1,4,24,4,12,3,12
codenameone-core-unittests,com.codename1.media,MediaManager,21,222,3,31,4,59,7,34,4,20
codenameone-core-unittests,com.codename1.media,RemoteControlCallback.new Runnable() {...},0,16,0,0,0,3,0,2,0,2
codenameone-core-unittests,com.codename1.media,AbstractMedia.new SuccessCallback() {...},11,9,2,0,3,1,2,1,1,1
codenameone-core-unittests,com.codename1.media,AbstractMedia.new AsyncMedia.PlayRequest() {...},5,29,1,3,1,8,1,4,0,3
codenameone-core-unittests,com.codename1.media,AbstractMedia.new SuccessCallback() {...},11,9,2,0,3,1,2,1,1,1
codenameone-core-unittests,com.codename1.media,AbstractMedia.new SuccessCallback() {...},0,20,1,1,0,4,1,2,0,2
codenameone-core-unittests,com.codename1.media,AbstractMedia.new SuccessCallback() {...},9,9,2,0,3,1,2,1,1,1
codenameone-core-unittests,com.codename1.media,AbstractMedia.new SuccessCallback() {...},0,18,1,1,0,4,1,2,0,2
codenameone-core-unittests,com.codename1.media,AbstractMedia.new ActionListener() {...},0,33,1,1,0,6,1,2,0,2
codenameone-core-unittests,com.codename1.media,AbstractMedia.new AsyncMedia.PauseRequest() {...},0,34,0,4,0,9,0,5,0,3
codenameone-core-unittests,com.codename1.media,AbstractMedia.new SuccessCallback() {...},0,20,1,1,0,4,1,2,0,2
codenameone-core-unittests,com.codename1.media,MediaRecorderBuilder,24,54,1,1,8,16,6,9,5,9
codenameone-core-unittests,com.codename1.media,WAVWriter,34,438,2,4,7,77,2,6,0,5
codenameone-core-unittests,com.codename1.ui.geom,Point,0,36,0,0,0,11,0,6,0,6
codenameone-core-unittests,com.codename1.ui.geom,Rectangle2D,498,219,58,16,98,51,54,18,19,16
codenameone-core-unittests,com.codename1.ui.geom,GeneralPath.EPoint,0,3,0,0,0,1,0,1,0,1
codenameone-core-unittests,com.codename1.ui.geom,GeneralPath.ShapeUtil.CubicCurve,236,224,40,10,25,30,26,5,3,3
codenameone-core-unittests,com.codename1.ui.geom,GeneralPath.ShapeUtil,2435,1307,427,157,352,262,253,70,9,15
codenameone-core-unittests,com.codename1.ui.geom,Geometry,8,13,1,3,2,3,2,2,1,1
codenameone-core-unittests,com.codename1.ui.geom,Geometry.BezierCurve,656,1370,62,93,72,200,54,62,1,31
codenameone-core-unittests,com.codename1.ui.geom,Dimension,5,92,4,4,2,25,4,10,0,10
codenameone-core-unittests,com.codename1.ui.geom,GeneralPath.Ellipse,28,412,1,15,2,65,3,14,2,7
codenameone-core-unittests,com.codename1.ui.geom,GeneralPath,597,2118,87,191,113,422,84,139,13,65
codenameone-core-unittests,com.codename1.ui.geom,GeneralPath.Pt,0,9,0,0,0,3,0,1,0,1
codenameone-core-unittests,com.codename1.ui.geom,Dimension2D,26,26,0,0,5,12,2,6,2,6
codenameone-core-unittests,com.codename1.ui.geom,GeneralPath.ShapeUtil.QuadCurve,132,169,35,11,19,29,21,7,1,4
codenameone-core-unittests,com.codename1.ui.geom,AffineTransform,429,95,16,4,115,22,26,4,16,4
codenameone-core-unittests,com.codename1.ui.geom,Rectangle,75,751,31,71,19,169,35,52,4,32
